,p,t,k,b,d,ɡ,f,θ,s,ʃ,v,z,ð,ʒ,m,n
p,0,12,15,8,1,0,12,0,7,0,0,0,0,0,4,1
t,8,0,7,0,3,0,1,3,6,0,0,0,0,0,3,1
k,15,8,0,4,5,4,3,0,5,0,0,0,0,0,1,1
b,7,3,3,0,6,3,7,0,0,0,4,0,0,0,10,0
d,1,6,3,4,0,3,0,0,5,0,1,1,0,0,1,5
ɡ,0,0,8,5,5,0,0,0,0,0,0,0,0,0,1,0
f,15,4,2,5,1,0,0,4,8,0,10,0,0,0,2,0
θ,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
s,1,4,4,1,3,0,7,7,0,3,0,2,0,0,0,0
ʃ,0,2,1,1,0,0,1,1,31,0,0,0,1,2,0,0
v,0,0,2,3,0,0,8,1,1,0,0,5,0,0,0,0
z,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1
ð,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
ʒ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
m,9,0,0,6,0,1,4,0,3,1,0,1,0,0,0,9
n,0,9,0,0,3,0,0,0,1,0,0,0,0,0,15,0
