,Type,Description,Inputs,Outputs,Environment,classes
19,Rule,plural suffix is [-əz] after X,∅,ə," L0: tʃ,dʒ,s,ʃ,z,ʒ R0: tʃ,dʒ,s,ʃ,z,ʒ","[s,ʃ,z,ʒ][s,ʃ,z,ʒ]"
9,Rule,X → palatalized / __j,"t,d,s,z","tʲ,dʲ,sʲ,zʲ", R0: j,"[t,d,s,z][t,d,s,z]"
17,Rule,/n/ → [n̪] / __X,n,n̪," R0: θ,ð","[θ,ð]"
27,Rule,X aspirated word-initially,"p,t,k","pʰ,tʰ,kʰ", L0: #,"[p,t,k][p,t,k]"
15,Rule,plural suffix is [-s] after X,z,s," L0: p,t,k,f,θ","[p,t,k,f,θ]"
14,Rule,X → palatal / __front vowel,"k,ɡ","c,ɟ"," R0: iː,ɪ,eɪ,ɛ,æ","[k,ɡ]"
28,Rule,stem-initial /s/ → z / X+__,s,z," L1: i,ɪ,ə,ʊ,u,e,ɛ,ʌ,ɔ,o,æ,a,aʊ,aɪ L0: +",
29,Rule,/n/ → [m] / __X,n,m," R0: p,b,m","[p,b,m]"
23,Rule,X → nasalized / __nasals,"aɪ,aʊ,iː,uː,ɪ,ʊ,eɪ,ə,ɜː,oʊ,ɛ,ʌ,ɔː,æ,ɑː","ãɪ̃,ãʊ̃,ĩː,ũː,ɪ̃,ʊ̃,ẽɪ̃,ə̃,ɜ̃ː,õʊ̃,ɛ̃,ʌ̃,ɔ̃ː,æ̃,ɑ̃ː"," R0: ŋ,n,m","[n,m]"
33,Rule,"/k, ɡ/ → [s, dʒ] / __+X","k,ɡ","s,dʒ"," R0: + R1: i,ɪ,ɛ,aɪ","[k,ɡ]"
34,Rule,/n/ → [ŋ] / __X,n,ŋ," R0: k,ɡ","[k,ɡ]"
4,Rule,/n/ → [ɱ] / __X,n,ɱ," R0: f,v","[f,v]"
32,Distribution,C2 of final CCC,"p,k,f,s,m",," L0: p,t,tʃ,k,b,d,dʒ,ɡ,f,θ,s,ʃ,h,v,ð,z,ʒ,m,n,ŋ,l,ɹ,w,j R0: p,t,tʃ,k,b,d,dʒ,ɡ,f,θ,s,ʃ,h,v,ð,z,ʒ,m,n,ŋ,l,ɹ,w,j R1: #","[p,k,f,s,m][p,t,k,b,d,ɡ,f,θ,s,ʃ,v,ð,z,ʒ,m,n][p,t,k,b,d,ɡ,f,θ,s,ʃ,v,ð,z,ʒ,m,n]"
31,Distribution,C2 of final CC w/C1=l,"p,t,tʃ,k,b,d,dʒ,f,θ,s,ʃ,v,z,m,n",, L0: l R0: #,"[p,t,k,b,d,f,θ,s,ʃ,v,z,m,n]"
